127.0.0.1 - - [09/Mar/2024:21:38:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:38:55 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:38:55 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 182146
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:38:55 +0530] "GET /BookStoreWebsite/images/BookStoreLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:38:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:39:00 +0530] "GET /BookStoreWebsite/view_book?id=7 HTTP/1.1" 200 51459
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:42:34 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140778
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:45:58 +0530] "GET /BookStoreWebsite/search?keyword= HTTP/1.1" 200 1010750
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:46:06 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140748
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:50:50 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140643
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:51:42 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140634
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:51:44 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140634
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:52:32 +0530] "GET /BookStoreWebsite/search?keyword= HTTP/1.1" 200 1009990
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:52:39 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140634
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:55:22 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140436
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:57:33 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140436
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:59:25 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140289
0:0:0:0:0:0:0:1 - - [09/Mar/2024:21:59:50 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140290
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:00:51 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140290
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:00:53 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140290
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:00:54 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140290
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:01:03 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 182146
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:01:03 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:01:03 +0530] "GET /BookStoreWebsite/images/BookStoreLogo.png HTTP/1.1" 200 67819
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:01:09 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140290
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:01:10 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:01:37 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 182146
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:01:40 +0530] "GET /BookStoreWebsite/search?keyword= HTTP/1.1" 200 1007684
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:03:58 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140290
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:03:58 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:04:38 +0530] "GET /BookStoreWebsite/search?keyword=spring HTTP/1.1" 200 140289
0:0:0:0:0:0:0:1 - - [09/Mar/2024:22:04:38 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
