127.0.0.1 - - [16/Mar/2024:21:42:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:31 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:32 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:32 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:32 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:33 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:33 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:42 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:42 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:42 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:42 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:42 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:42 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:42 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:42 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:46 +0530] "GET /BookStoreWebsite/admin/list_customer HTTP/1.1" 200 2893
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:49:50 +0530] "GET /BookStoreWebsite/admin/customer_form.jsp HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:51:33 +0530] "POST /BookStoreWebsite/admin/create_customer HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:54:54 +0530] "GET /BookStoreWebsite/admin/customer_form.jsp HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:56:58 +0530] "POST /BookStoreWebsite/admin/create_customer HTTP/1.1" 200 3676
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:57:02 +0530] "GET /BookStoreWebsite/admin/customer_form.jsp HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [16/Mar/2024:21:57:49 +0530] "POST /BookStoreWebsite/admin/create_customer HTTP/1.1" 200 3736
