127.0.0.1 - - [26/Feb/2024:21:39:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:40:23 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 204746
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:40:23 +0530] "GET /BookStoreWebsite/images/BookStoreLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:40:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:40:31 +0530] "GET /BookStoreWebsite/view_book?id=5 HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:40:37 +0530] "GET /BookStoreWebsite/view_category?id=3 HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:40:44 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 40902
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:40:47 +0530] "GET /BookStoreWebsite/view_book?id=4 HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:40:50 +0530] "GET /BookStoreWebsite/view_category?id=1 HTTP/1.1" 200 375029
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:40:57 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:42:35 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:50:10 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 75933
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:54:57 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76050
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:55:18 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76061
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:56:56 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76402
0:0:0:0:0:0:0:1 - - [26/Feb/2024:21:59:43 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76439
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:02:50 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76515
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:05 +0530] "GET /BookStoreWebsite/view_category?id=1 HTTP/1.1" 200 375029
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:08 +0530] "GET /BookStoreWebsite/view_book?id=9 HTTP/1.1" 200 78940
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:11 +0530] "GET /BookStoreWebsite/view_category?id=1 HTTP/1.1" 200 375029
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:13 +0530] "GET /BookStoreWebsite/view_book?id=3 HTTP/1.1" 200 60024
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:15 +0530] "GET /BookStoreWebsite/view_category?id=1 HTTP/1.1" 200 375029
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:17 +0530] "GET /BookStoreWebsite/view_book?id=10 HTTP/1.1" 200 46878
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:20 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 40902
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:21 +0530] "GET /BookStoreWebsite/view_book?id=4 HTTP/1.1" 200 40979
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:26 +0530] "GET /BookStoreWebsite/view_category?id=5 HTTP/1.1" 200 49973
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:27 +0530] "GET /BookStoreWebsite/view_book?id=7 HTTP/1.1" 200 50048
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:03:30 +0530] "GET /BookStoreWebsite/view_category?id=1 HTTP/1.1" 200 375029
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:06:19 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76627
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:08:10 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76676
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:09:07 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76689
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:12:45 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76704
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:14:02 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76711
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:19:41 +0530] "GET /BookStoreWebsite/view_category?id=1 HTTP/1.1" 200 375029
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:19:48 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:19:59 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:20:04 +0530] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 463002
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:20:10 +0530] "GET /BookStoreWebsite/admin/edit_book?id=3 HTTP/1.1" 200 63227
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:20:10 +0530] "GET /BookStoreWebsite/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:20:10 +0530] "GET /BookStoreWebsite/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:20:46 +0530] "POST /BookStoreWebsite/admin/update_book HTTP/1.1" 200 463105
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:20:56 +0530] "GET /BookStoreWebsite/view_book?id=3 HTTP/1.1" 200 61236
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:22:22 +0530] "GET /BookStoreWebsite/view_category?id=1 HTTP/1.1" 200 375029
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:22:26 +0530] "GET /BookStoreWebsite/view_book?id=5 HTTP/1.1" 200 59312
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:23:14 +0530] "GET /BookStoreWebsite/admin/edit_book?id=5 HTTP/1.1" 200 62302
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:23:19 +0530] "POST /BookStoreWebsite/admin/update_book HTTP/1.1" 200 463105
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:23:25 +0530] "GET /BookStoreWebsite/view_book?id=5 HTTP/1.1" 200 61268
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:23:40 +0530] "GET /BookStoreWebsite/admin/edit_book?id=5 HTTP/1.1" 200 64258
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:23:58 +0530] "POST /BookStoreWebsite/admin/update_book HTTP/1.1" 200 463105
0:0:0:0:0:0:0:1 - - [26/Feb/2024:22:24:01 +0530] "GET /BookStoreWebsite/view_book?id=5 HTTP/1.1" 200 60927
