127.0.0.1 - - [05/Feb/2024:20:59:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:39 +0530] "GET /BookStoreWebsite/admin/list_category HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:39 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:39 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:39 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:39 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:39 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:39 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:39 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:39 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:39 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:00:51 +0530] "GET /BookStoreWebsite/admin/login.jsp HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:10:18 +0530] "GET /BookStoreWebsite/admin/login.jsp HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:11:03 +0530] "GET /BookStoreWebsite/admin/login.jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:12:15 +0530] "GET /BookStoreWebsite/admin/login.jsp HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:12:17 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:14:23 +0530] "GET /BookStoreWebsite/admin/login.jsp HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:14:23 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:18:44 +0530] "GET /BookStoreWebsite/admin/login.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:18:44 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:18:44 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:18:44 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2024:21:19:06 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 404 787
