127.0.0.1 - - [13/Feb/2024:20:31:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:33:06 +0530] "GET /BookStoreWebsite/admin/book_form HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:33:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:33:28 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:33:40 +0530] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 157821
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:33:45 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:33:45 +0530] "GET /BookStoreWebsite/js/jquery-ui.min.css HTTP/1.1" 200 19112
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:33:45 +0530] "GET /BookStoreWebsite/js/jquery-ui.min.js HTTP/1.1" 200 36926
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:37:00 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:37:00 +0530] "GET /BookStoreWebsite/css/jquery-ui.min.css HTTP/1.1" 200 19112
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:41:17 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:41:25 +0530] "GET /BookStoreWebsite/css/images/ui-icons_444444_256x240.png HTTP/1.1" 200 7126
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:41:27 +0530] "GET /BookStoreWebsite/css/images/ui-icons_555555_256x240.png HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:55:54 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [13/Feb/2024:20:59:18 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 4756
0:0:0:0:0:0:0:1 - - [13/Feb/2024:21:12:07 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [13/Feb/2024:21:12:08 +0530] "GET /BookStoreWebsite/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:21:12:08 +0530] "GET /BookStoreWebsite/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:21:12:10 +0530] "POST /BookStoreWebsite/admin/create_book HTTP/1.1" 404 429
0:0:0:0:0:0:0:1 - - [13/Feb/2024:21:12:44 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [13/Feb/2024:21:12:47 +0530] "POST /BookStoreWebsite/admin/create_book HTTP/1.1" 404 429
0:0:0:0:0:0:0:1 - - [13/Feb/2024:21:13:19 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [13/Feb/2024:21:17:07 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 5068
0:0:0:0:0:0:0:1 - - [13/Feb/2024:21:17:33 +0530] "GET /BookStoreWebsite/css/images/ui-icons_444444_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2024:21:19:09 +0530] "POST /BookStoreWebsite/admin/create_book HTTP/1.1" 404 429
