0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:34:19 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:34:19 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:34:19 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:34:19 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:34:19 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:34:27 +0530] "GET /BookStoreWebsite/admin/list_category HTTP/1.1" 200 3771
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:34:33 +0530] "GET /BookStoreWebsite/admin/delete_category?id=11 HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:39:26 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 4963
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:39:32 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:42:16 +0530] "GET /BookStoreWebsite/admin/list_category HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:42:18 +0530] "GET /BookStoreWebsite/admin/category_form.jsp HTTP/1.1" 200 2484
