127.0.0.1 - - [26/Mar/2024:19:47:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:48:14 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:48:14 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 182219
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:48:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:48:17 +0530] "GET /BookStoreWebsite/register HTTP/1.1" 200 4756
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:48:19 +0530] "POST /BookStoreWebsite/register_customer HTTP/1.1" 500 523
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:48:20 +0530] "GET /BookStoreWebsite/images/BookStoreLogo.jpeg HTTP/1.1" 404 429
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:02 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1382
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:11 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 500 523
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:11 +0530] "GET /BookStoreWebsite/images/BookStoreLogo.jpeg HTTP/1.1" 404 429
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:22 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:22 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 200 75278
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:22 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 200 50552
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:22 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 200 17131
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:22 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 200 29220
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:22 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 200 22218
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:22 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 200 44691
0:0:0:0:0:0:0:1 - - [26/Mar/2024:19:50:22 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 200 16519
